energy_keV,counts
0.000000000000000000e+00,3.810226819831862599e+01
2.000000000000000000e+00,3.648825636699169195e+01
4.000000000000000000e+00,3.537042519018314124e+01
6.000000000000000000e+00,3.429993389791312097e+01
8.000000000000000000e+00,3.252861749449604645e+01
1.000000000000000000e+01,3.001279437759853863e+01
1.200000000000000000e+01,2.759825506919912641e+01
1.400000000000000000e+01,2.605848675304207518e+01
1.600000000000000000e+01,2.514893760947720125e+01
1.800000000000000000e+01,2.384471358994582602e+01
2.000000000000000000e+01,2.147626788917423823e+01
2.200000000000000000e+01,1.848188915870221649e+01
2.400000000000000000e+01,1.609999250632108669e+01
2.600000000000000000e+01,1.545908566366617265e+01
2.800000000000000000e+01,1.680112738057340493e+01
3.000000000000000000e+01,1.921136948782177001e+01
3.200000000000000000e+01,2.109861232359327232e+01
3.400000000000000000e+01,2.133849227217132238e+01
3.600000000000000000e+01,2.011372329883303678e+01
3.800000000000000000e+01,1.845439509314917359e+01
4.000000000000000000e+01,1.707296025708265574e+01
4.200000000000000000e+01,1.592017234594499087e+01
4.400000000000000000e+01,1.463634273067259528e+01
4.600000000000000000e+01,1.307023179298508353e+01
4.800000000000000000e+01,1.142171553936833561e+01
5.000000000000000000e+01,1.003795938978146296e+01
5.200000000000000000e+01,9.119168573851652582e+00
5.400000000000000000e+01,8.681040813167470560e+00
5.600000000000000000e+01,8.704987611041218543e+00
5.800000000000000000e+01,9.143730641239329771e+00
6.000000000000000000e+01,9.833990325707901548e+00
6.200000000000000000e+01,1.053684199643694797e+01
6.400000000000000000e+01,1.105362640211666303e+01
6.600000000000000000e+01,1.124853192042959904e+01
6.800000000000000000e+01,1.104940503508794336e+01
7.000000000000000000e+01,1.052471494230857729e+01
7.200000000000000000e+01,9.975998460811325685e+00
7.400000000000000000e+01,9.786976989969076612e+00
7.600000000000000000e+01,1.005173977538294139e+01
7.800000000000000000e+01,1.040726239072967019e+01
8.000000000000000000e+01,1.033192339295683837e+01
8.200000000000000000e+01,9.581016073749339057e+00
8.400000000000000000e+01,8.413466481067786162e+00
8.600000000000000000e+01,7.443358926155497102e+00
8.800000000000000000e+01,7.082060286195684284e+00
9.000000000000000000e+01,7.016017304119657183e+00
9.200000000000000000e+01,6.403002785266792785e+00
9.400000000000000000e+01,4.698838919919083423e+00
9.600000000000000000e+01,2.258133577323462760e+00
9.800000000000000000e+01,1.269994139658052745e-01
1.000000000000000000e+02,0.000000000000000000e+00
